event_id,date,surprise,raw_return_%,vol_adj_return
US_CPI_JAN_24,2024-01-11,1.0,0.008,0.011
US_NFP_JAN_24,2024-01-05,0.92,1.597,2.113
US_CPI_FEB_24,2024-02-13,1.0,-0.423,-0.678
US_NFP_FEB_24,2024-02-02,3.46,0.746,1.134
US_CPI_MAR_24,2024-03-12,0.5,0.926,1.306
US_NFP_MAR_24,2024-03-08,1.5,-0.764,-1.069
US_CPI_APR_24,2024-04-10,0.5,-0.208,-0.292
US_NFP_APR_24,2024-04-05,2.06,1.072,1.53
US_CPI_MAY_24,2024-05-15,0.0,0.961,1.283
US_NFP_MAY_24,2024-05-03,-1.36,2.301,2.996
US_CPI_JUN_24,2024-06-12,-0.5,1.087,1.581
US_NFP_JUN_24,2024-06-07,1.74,0.146,0.212
US_CPI_JUL_24,2024-07-11,-0.5,-0.329,-0.562
US_NFP_JUL_24,2024-07-05,0.32,0.647,1.008
US_CPI_AUG_24,2024-08-14,-0.5,2.002,2.219
